Instrument,RIC,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,cik,name,ticker,exchange,RIC_Suffix,Ticker
WEC.N,WEC.N,,,,,,,,,,,,,
WELL.N,WELL.N,,,,,,,,,,,,,
WM.N,WM.N,,,,,,,,,,,,,
WMB.N,WMB.N,,,,,,,,,,,,,
WMT.N,WMT.N,,,,,,,,,,,,,
WST.N,WST.N,,,,,,,,,,,,,
WY.N,WY.N,,,,,,,,,,,,,
WYNN.O,WYNN.O,,,,,,,,,,,,,
XEL.O,XEL.O,,,,,,,,,,,,,
XOM.N,XOM.N,,,,,,,,,,,,,
XYL.N,XYL.N,,,,,,,,,,,,,
YUM.N,YUM.N,,,,,,,,,,,,,
ZBH.N,ZBH.N,,,,,,,,,,,,,
ZBRA.O,ZBRA.O,,,,,,,,,,,,,
ZTS.N,ZTS.N,,,,,,,,,,,,,
